key_resp.keys,key_resp.rt,key_resp_16.keys,key_resp_16.rt,key_resp_2.keys,key_resp_2.rt,X Scale,ratio_pxpermm,screen_size_x,screen_size_y,testsize,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,line_size,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_8.keys,key_resp_8.rt,key_resp_7.keys,key_resp_7.rt,key_resp_12.keys,key_resp_12.rt,key_resp_11.keys,key_resp_11.rt,key_resp_18.keys,key_resp_18.rt,key_resp_21.keys,key_resp_21.rt,key_resp_13.keys,key_resp_13.rt,key_resp_19.keys,key_resp_19.rt,ballposx,viewer_distance,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,viewerdistancecm,DVA_to_distance,radius_F,radius_P,r_F,R_P,key_resp_20.keys,key_resp_20.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Colour_1,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,Colour_2,similarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Colour1,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,trialnumber,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,Catch,response_time_catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,answer1,rt1,answer2,rt2,answer3,rt3,answer4,rt4,answer5,rt5,answer6,rt6,answer7,rt7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,0,2.04105,,,,,,,,,,,,,,,,,,,,,,,,,1,-26,59,1,0,0,response7disk,1,9,-4,2,1,0,0,rectangle,42,110,1,0,0,7,7,1,5.193885,1,3,1,0,0,0,8,8,76,1,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,4.92608,,,,,,,,,,,,,,,,,,,,,,,,,2,36,63,1,0,0,response1disk,4,10,11,7,1,0,0,rectangle,11,7,1,0,0,7,6,0,0.00578,11,7,1,0,0,0,9,9,127,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,2.10337,,,,,,,,,,,,,,,,,,,,,,,,,2,43,79,1,0,0,response1disk,5,11,-4,2,1,0,0,rectangle,-4,2,1,0,0,7,4,0,0.0046,-4,2,1,0,0,0,10,10,147,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,4,2.81157,,,,,,,,,,,,,,,,,,,,,,,,,5,30,-56,1,0,0,response3disk,4,12,16,3,1,0,0,rectangle,16,3,1,0,0,7,1,0,0.001335,16,3,1,0,0,0,11,11,8,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,2.12847,,,,,,,,,,,,,,,,,,,,,,,,,2,38,63,1,0,0,response1disk,8,13,13,14,1,0,0,rectangle,13,14,1,0,0,7,4,0,0.001185,13,14,1,0,0,0,12,12,52,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,4,10.555275,,,,,,,,,,,,,,,,,,,,,,,,,7,45,-89,1,0,0,response3disk,5,14,15,1,1,0,0,rectangle,15,1,1,0,0,7,4,0,0.02218,15,1,1,0,0,0,13,13,92,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,5,2.688215,,,,,,,,,,,,,,,,,,,,,,,,,5,104,-55,1,0,0,response3disk,6,15,7,-5,1,0,0,rectangle,7,-5,1,0,0,7,0,0,0.0036,7,-5,1,0,0,0,14,14,103,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,0,2.07372,,,,,,,,,,,,,,,,,,,,,,,,,6,-27,78,1,0,0,response7disk,6,16,-6,9,1,0,0,rectangle,-6,9,1,0,0,7,7,0,0.0017,-6,9,1,0,0,0,15,15,91,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,PF,,,,,,,,7,2.65605,,,,,,,,,,,,,,,,,,,,,,,,,7,55,91,1,0,0,response1disk,1,17,1,3,1,0,0,rectangle,1,3,1,0,0,7,2,0,0.003085,1,3,1,0,0,0,16,16,53,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5eacad39ef271f3206810eeb,5ff3a3eaf4e2339dadb467c2,2021-01-04_17h26.04.118,Colour_Similarity_Experiment_v1,2020.1.2,Win32,60,5ff3a352adaa099f7659f8cc,,,,,,,,,,,,,,,,,,,,FF,,,,,,,,7,2.89969,,,,,,,,,,,,,,,,,,,,,,,,,6,38,69,1,0,0,response1disk,1,18,16,8,1,0,0,rectangle,16,8,1,0,0,7,5,0,0.002915,16,8,1,0,0,0,17,17,5,1,,,,,,,,,,,,,,,,,,,,,
